ID,country,year,lineage,,place,province,latitude,longitude,species,date
Z-07-222,Philippines,2007,Asian SEA4_B1.1.1,,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,30/06/2007
Z-14-05,Philippines,2014,Asian SEA4_C1,,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,05/01/2014
Z-14-136,Philippines,2014,Asian SEA4_A1.1.2,,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,11/06/2014
Z-17-177,Philippines,2017,Asian SEA4_A1.1.2,,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,25/09/2017
Z-98-1061,Philippines,1998,Asian SEA4_A1,,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,05/08/1998
R10-989,Philippines,2021,Asian SEA4_A1.2,,Gingoog ,Misamis Oriental,8.776382452,125.0898786,Canis familiaris,25/11/2021
R10-990,Philippines,2021,Asian SEA4_A1.2,,Gingoog ,Misamis Oriental,8.776382452,125.0898786,Canis familiaris,25/11/2021
4B-22-17,Philippines,2022,Asian SEA4_A1.2,,Gloria,Oriental Mindoro,12.92166054,121.3754507,Canis familiaris,08/05/2022
Z-08-351,Philippines,2007,Asian SEA4_B1.1,,GMA,Cavite,14.30698662,121.0184177,Canis familiaris,12/12/2008
Z-12-060,Philippines,2012,Asian SEA4_A1.2,,GMA,Cavite,14.30698662,121.0184177,Canis familiaris,25/02/2012
Z-18-159,Philippines,2018,Asian SEA4_A1.2,,Guiginto,Bulacan,14.83746463,120.8923363,Canis familiaris,19/07/2018
Z-13-094,Philippines,2013,Asian SEA4_A1.1.2,,Imus,Cavite,14.39822975,120.9319992,Canis familiaris,10/05/2013
Z-19-123,Philippines,2019,Asian SEA4_A1.1.2,,Imus,Cavite,14.39822975,120.9319992,Canis familiaris,11/08/2019
Z-13-066,Philippines,2013,Asian SEA4_B1.1.1,,Imus  ,Cavite,14.39822975,120.9319992,Canis familiaris,05/04/2013
Z-13-135,Philippines,2013,Asian SEA4_B1.1.1,,Indang,Cavite,14.18917642,120.8713283,Canis familiaris,12/06/2013
Z-17-193,Philippines,2017,Asian SEA4_A1.1.2,,Infanta,Quezon,14.71657136,121.650984,Canis familiaris,13/10/2017
R9-089,Philippines,2021,Asian SEA4_A1.2,,Ipil,Zamboanga Sibugay,7.780235248,122.5765115,Canis familiaris,07/10/2021
RADDL5-005,Philippines,2015,Asian SEA4_A1.2,,Iriga  ,Camarines Sur,13.44838237,123.4332975,Canis familiaris,30/01/2015
R5-21-119,Philippines,2021,Asian SEA4_A1.2,,Irosin,Sorsogon,12.71458793,124.0300037,Canis familiaris,15/10/2021
Z-98-433,Philippines,1998,Asian SEA4_A1.2,,Kawit,Cavite,14.44475736,120.9012276,Canis familiaris,30/04/1998
R9-105,Philippines,2021,Asian SEA4_A1.2,,Labason,Zamboanga Del Norte,8.030135135,122.5303567,Canis familiaris,09/12/2021
R7-21-161,Philippines,2021,Asian SEA4_A1,,Lapu lapu,Cebu,10.29788925,123.9784138,Canis familiaris,18/10/2021
Z-07-407,Philippines,2007,Asian SEA4_A1.1.2,,Las Pinas,Metro Manila,14.4423825,120.9940879,Canis familiaris,26/12/2007
Z-13-071,Philippines,2013,Asian SEA4_A1.1.2,,Las Pinas  ,Metro Manila,14.4423825,120.9940879,Canis familiaris,10/04/2013
Z-13-096,Philippines,2013,Asian SEA4_A1.1.2,,Las Pinas  ,Metro Manila,14.4423825,120.9940879,Felis catus,12/05/2013
Z-14-126,Philippines,2014,Asian SEA4_A1.1.2,,Las Pinas  ,Metro Manila,14.4423825,120.9940879,Canis familiaris,31/05/2014
Z-16-210,Philippines,2016,Asian SEA4_B1.1.1,,Las Pinas  ,Metro Manila,14.4423825,120.9940879,Canis familiaris,16/12/2016
R5-21-136,Philippines,2021,Asian SEA4_A1.2,,Libon,Albay,13.24707931,123.3705704,Canis familiaris,02/12/2021
R10-907,Philippines,2021,Asian SEA4_A1.2,,Libona,Bukidnon,8.327601426,124.7570432,Canis familiaris,25/10/2021
RADDL3-1045,Philippines,2015,Asian SEA4_A1.2,,Limay,Bataan,14.53878982,120.5544428,Canis familiaris,23/10/2015
4A-22-104,Philippines,2022,Asian SEA4_A1.2,,Lipa,Batangas,13.94086577,121.1746864,Canis familiaris,25/01/2022
Z-07-366,Philippines,2007,Asian SEA4_A1.2,,Lipa  ,Batangas,13.94086577,121.1746864,Canis familiaris,12/11/2007
Z-19-029,Philippines,2019,Asian SEA4_A1.3,,Lipa  ,Batangas,13.94086577,121.1746864,Canis familiaris,26/02/2019
4A-22-203,Philippines,2022,Asian SEA4_A1.1.2,,Lucena ,Quezon,13.93834754,121.6153593,Canis familiaris,11/02/2022
Z-07-403,Philippines,2007,Asian SEA4_B1.1,,Lucena  ,Quezon,13.93834754,121.6153593,Canis familiaris,22/12/2007
Z-05-557,Philippines,2005,Asian SEA4_D1,,Makati,Metro Manila,14.54943127,121.0335906,Canis familiaris,03/12/2005
R10-688,Philippines,2021,Asian SEA4_A1.2,,Malaybalay,Bukidnon,8.160681669,125.1787735,Canis familiaris,02/07/2021
R5-22-09,Philippines,2022,Asian SEA4_A1.2,,Malilipot,Albay,13.30206264,123.724162,Felis catus,07/02/2022
R5-21-132,Philippines,2021,Asian SEA4_A1.2,,Malinao,Albay,13.3845747,123.6522757,Canis familiaris,15/11/2021
RADDL3-16-627,Philippines,2016,Asian SEA4_A1.2,,Malolos,Bulacan,14.82958643,120.8367451,Canis familiaris,27/07/2016
Z-13-216,Philippines,2013,Asian SEA4_A1.3,,Mamburao,Occidental Mindoro,13.25401504,120.6612766,Canis familiaris,25/10/2013
4B-22-13,Philippines,2022,Asian SEA4_A1.2,,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,22/04/2022
4B-22-20,Philippines,2022,Asian SEA4_A1.2,,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,19/05/2022
4B-22-40,Philippines,2022,Asian SEA4_A1.2,,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,02/12/2022
R10-856,Philippines,2021,Asian SEA4_A1.2,,Manticao,Misamis Oriental,8.374138099,124.3486702,Canis familiaris,27/09/2021
Z-12-029,Philippines,2012,Asian SEA4_A1.2,,Marikina  ,Metro Manila,14.64718362,121.1030131,Canis familiaris,03/02/2012
R11-21-61,Philippines,2021,Asian SEA4_A1.2,,Midsayap,Cotabato,7.136249451,124.5166062,Canis familiaris,11/08/2021
98-286,Philippines,1998,Asian SEA4_A1,,Mulanay,Quezon,13.52552491,122.4578973,Canis familiaris,19/03/1998
Z-98-515,Philippines,1998,Asian SEA4_D1,,Muntinlupa,Metro Manila,14.40197636,121.0327847,Canis familiaris,20/05/1998
Z-17-174,Philippines,2017,Asian SEA4_A1.1.2,,Muntinlupa ,Metro Manila,14.40197636,121.0327847,Canis familiaris,23/09/2017
Z-05-102,Philippines,2005,Asian SEA4_D1,,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,21/02/2005
Z-13-020,Philippines,2013,Asian SEA4_D1,,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,02/02/2013
Z-13-134,Philippines,2013,Asian SEA4_A1.1.2,,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,10/06/2013
Z-16-150,Philippines,2016,Asian SEA4_A1.2,,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,05/09/2016
Z-20-24,Philippines,2020,Asian SEA4_A1.2,,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,14/02/2020
R5-21-128,Philippines,2021,Asian SEA4_A1.2,,Naga,Camarines Sur,13.64368803,123.2594656,Canis familiaris,09/11/2021
98-335,Philippines,1998,Asian SEA4_A1.3,,Nagcarlan,Laguna,14.14027602,121.4032743,Canis familiaris,01/04/1998
