"ID","year","country","assignment"
"Z-13-134",2013,"Philippines","Asian SEA4"
"Z-13-135",2013,"Philippines","Asian SEA4"
"Z-13-161",2013,"Philippines","Asian SEA4"
"Z-13-171",2013,"Philippines","Asian SEA4"
"Z-13-184",2013,"Philippines","Asian SEA4"
"Z-13-204",2013,"Philippines","Asian SEA4"
"Z-13-216",2013,"Philippines","Asian SEA4"
"Z-13-234",2013,"Philippines","Asian SEA4"
"Z-13-259",2013,"Philippines","Asian SEA4"
"Z-14-023",2014,"Philippines","Asian SEA4"
"Z-14-033",2014,"Philippines","Asian SEA4"
"Z-14-058",2014,"Philippines","Asian SEA4"
"Z-14-05",2014,"Philippines","Asian SEA4"
"Z-14-098",2014,"Philippines","Asian SEA4"
"Z-14-101",2014,"Philippines","Asian SEA4"
"Z-14-106",2014,"Philippines","Asian SEA4"
"Z-14-126",2014,"Philippines","Asian SEA4"
"Z-14-136",2014,"Philippines","Asian SEA4"
"Z-14-142",2014,"Philippines","Asian SEA4"
"Z-14-182",2014,"Philippines","Asian SEA4"
"Z-14-243",2014,"Philippines","Asian SEA4"
"Z-15-001",2015,"Philippines","Asian SEA4"
"Z-15-009",2015,"Philippines","Asian SEA4"
"Z-15-163",2015,"Philippines","Asian SEA4"
"Z-16-082",2016,"Philippines","Asian SEA4"
"Z-16-150",2016,"Philippines","Asian SEA4"
"Z-16-151",2016,"Philippines","Asian SEA4"
"Z-16-196",2016,"Philippines","Asian SEA4"
"Z-16-209",2016,"Philippines","Asian SEA4"
"Z-16-210",2016,"Philippines","Asian SEA4"
"Z-16-211",2016,"Philippines","Asian SEA4"
"Z-17-046",2017,"Philippines","Asian SEA4"
"Z-17-174",2017,"Philippines","Asian SEA4"
"Z-17-177",2017,"Philippines","Asian SEA4"
"Z-17-193",2017,"Philippines","Asian SEA4"
"Z-17-200",2017,"Philippines","Asian SEA4"
"Z-17-221",2017,"Philippines","Asian SEA4"
"Z-17-57",2017,"Philippines","Asian SEA4"
"Z-18-001",2018,"Philippines","Asian SEA4"
"Z-18-114",2018,"Philippines","Asian SEA4"
"Z-18-159",2018,"Philippines","Asian SEA4"
"Z-18-224",2018,"Philippines","Asian SEA4"
"Z-18-251",2018,"Philippines","Asian SEA4"
"Z-19-029",2019,"Philippines","Asian SEA4"
"Z-19-123",2019,"Philippines","Asian SEA4"
"Z-19-136",2019,"Philippines","Asian SEA4"
"Z-19-88",2019,"Philippines","Asian SEA4"
"Z-20-01",2020,"Philippines","Asian SEA4"
"Z-20-110",2020,"Philippines","Asian SEA4"
"Z-20-24",2020,"Philippines","Asian SEA4"
"Z-20-33",2020,"Philippines","Asian SEA4"
"Z-20-51",2020,"Philippines","Asian SEA4"
"Z-22-103",2022,"Philippines","Asian SEA4"
"Z-22-121",2022,"Philippines","Asian SEA4"
"Z-23-01",2023,"Philippines","Asian SEA4"
"Z-23-01Sa",2023,"Philippines","Asian SEA4"
"Z-98-1061",1998,"Philippines","Asian SEA4"
"Z-98-433",1998,"Philippines","Asian SEA4"
"Z-98-454",1998,"Philippines","Asian SEA4"
"Z-98-515",1998,"Philippines","Asian SEA4"
"Z-98-616",1998,"Philippines","Asian SEA4"
"Z-98-667",1998,"Philippines","Asian SEA4"
"Z-98-712",1998,"Philippines","Asian SEA4"
"Z-98-718",1998,"Philippines","Asian SEA4"
"Z-98-780",1998,"Philippines","Asian SEA4"
"Z-98-838",1998,"Philippines","Asian SEA4"
"Z-98-860",1998,"Philippines","Asian SEA4"
