ID,country,year,assignment,lab_date,brgy,municipality,province,latitude,longitude,species,species_type,,,
Z-18-251,Philippines,2018,Asian SEA4,7/12/2018,"Rpa Enterprises, Don Jose",Sta. Rosa  ,Laguna,14.27260264,121.0895167,Canis familiaris,Domestic Dog,,,
Z-12-208,Philippines,2012,Asian SEA4,2/10/2012,De Paro St.,Caloocan  ,Metro Manila,14.74647256,121.0486805,Canis familiaris,Domestic Dog,,,
Z-18-224,Philippines,2018,Asian SEA4,28/10/2018,Camarin Rd.,Caloocan  ,Metro Manila,14.74647256,121.0486805,Canis familiaris,Domestic Dog,,,
Z-07-407,Philippines,2007,Asian SEA4,26/12/2007,Southland Talon 1,Las Pinas,Metro Manila,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,,
Z-13-071,Philippines,2013,Asian SEA4,10/4/2013,Golden Acres,Las Pinas  ,Metro Manila,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,,
Z-13-096,Philippines,2013,Asian SEA4,12/5/2013,Bf International,Las Pinas  ,Metro Manila,14.4423825,120.9940879,Felis catus,Cat,,,
Z-14-126,Philippines,2014,Asian SEA4,31/5/2014,Talon 5,Las Pinas  ,Metro Manila,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,,
Z-16-210,Philippines,2016,Asian SEA4,16/12/2016,Almanza 2,Las Pinas  ,Metro Manila,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,,
Z-05-557,Philippines,2005,Asian SEA4,3/12/2005,Rizal,Makati,Metro Manila,14.54943127,121.0335906,Canis familiaris,Domestic Dog,,,
Z-12-029,Philippines,2012,Asian SEA4,3/2/2012,Sss Village,Marikina  ,Metro Manila,14.64718362,121.1030131,Canis familiaris,Domestic Dog,,,
Z-98-515,Philippines,1998,Asian SEA4,20/5/1998,Cupang,Muntinlupa,Metro Manila,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,,
Z-17-174,Philippines,2017,Asian SEA4,23/9/2017,Poblacion,Muntinlupa ,Metro Manila,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,,
Z-05-102,Philippines,2005,Asian SEA4,21/2/2005,,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,,
Z-13-020,Philippines,2013,Asian SEA4,2/2/2013,Sucat,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,,
Z-13-134,Philippines,2013,Asian SEA4,10/6/2013,"Sto. Nino Vill.,Tunasan",Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,,
Z-16-150,Philippines,2016,Asian SEA4,5/9/2016,Putatan,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,,
Z-20-24,Philippines,2020,Asian SEA4,14/2/2020,Bayanan,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,,
Z-05-96,Philippines,2005,Asian SEA4,17/2/2005,Maywood Sucat,Paranaque,Metro Manila,14.48357034,121.0147858,Canis familiaris,Domestic Dog,,,
Z-98-454,Philippines,1998,Asian SEA4,4/5/1998,Betterliving Subd,Paranaque,Metro Manila,14.48357034,121.0147858,Canis familiaris,Domestic Dog,,,
Z-13-073,Philippines,2013,Asian SEA4,12/4/2013,Bf Homes,Paranaque  ,Metro Manila,14.48357034,121.0147858,Canis familiaris,Domestic Dog,,,
Z-09-94,Philippines,2009,Asian SEA4,8/4/2009,Brgy 191,Pasay  ,Metro Manila,14.53080944,121.0041508,Canis familiaris,Domestic Dog,,,
Z-20-33,Philippines,2020,Asian SEA4,18/2/2020,F.B. Harizon Edsa,Pasay  ,Metro Manila,14.53080944,121.0041508,Canis familiaris,Domestic Dog,,,
Z-15-009,Philippines,2015,Asian SEA4,16/1/2015,South Triangle,Quezon  ,Metro Manila,14.67428047,121.0574986,Canis familiaris,Domestic Dog,,,
Z-13-098,Philippines,2013,Asian SEA4,13/5/2013,-,San Juan  ,Metro Manila,14.60295528,121.0338172,Canis familiaris,Domestic Dog,,,
Z-04-664,Philippines,2004,Asian SEA4,15/12/2004,Lower Bicutan,Taguig,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
Z-05-191,Philippines,2005,Asian SEA4,10/4/2005,Lower Bicutan,Taguig,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
Z-98-838,Philippines,1998,Asian SEA4,9/8/1998,Upper Bicutan,Taguig,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
Z-07-351,Philippines,2007,Asian SEA4,25/10/2007,Wawa,Taguig  ,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
Z-13-032,Philippines,2013,Asian SEA4,14/2/2013,Lower Bicutan,Taguig  ,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
Z-13-036,Philippines,2013,Asian SEA4,25/2/2013,Upper Bicutan,Taguig  ,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
Z-14-101,Philippines,2014,Asian SEA4,4/5/2014,Upper Bicutan,Taguig  ,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
R10-711,Philippines,2021,Asian SEA4,12/7/2021,Balulang,Cagayan de Oro,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,,
R10-920,Philippines,2021,Asian SEA4,26/10/2021,Agusan,Cagayan de Oro,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,,
R10-824,Philippines,2021,Asian SEA4,9/9/2021,Bulua,Cagayan de Oro ,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,,
R10-989,Philippines,2021,Asian SEA4,25/11/2021,Barangay 1,Gingoog ,Misamis Oriental,8.776382452,125.0898786,Canis familiaris,Domestic Dog,,,
R10-990,Philippines,2021,Asian SEA4,25/11/2021,Agay-Ayan,Gingoog ,Misamis Oriental,8.776382452,125.0898786,Canis familiaris,Domestic Dog,,,
R10-856,Philippines,2021,Asian SEA4,27/9/2021,-,Manticao,Misamis Oriental,8.374138099,124.3486702,Canis familiaris,Domestic Dog,,,
R3-731,Philippines,2021,Asian SEA4,9/12/2021,Sangitan,Cabanatuan,Nueva Ecija,15.49243695,120.9899426,Canis familiaris,Domestic Dog,,,
RADDL3-15-172,Philippines,2015,Asian SEA4,12/2/2015,Cvo,San Jose  ,Nueva Ecija,15.78462183,120.9975839,Canis familiaris,Domestic Dog,,,
4B-2422,Philippines,2022,Asian SEA4,4/2/2022,Concepcion,Calintaan,Occidental Mindoro,12.59217706,121.082659,Canis familiaris,Domestic Dog,,,
Z-13-216,Philippines,2013,Asian SEA4,25/10/2013,Bgy. 2,Mamburao,Occidental Mindoro,13.25401504,120.6612766,Canis familiaris,Domestic Dog,,,
Z-17-57,Philippines,2017,Asian SEA4,29/3/2017,Magbag,San Jose,Occidental Mindoro,12.45581677,121.1219622,Canis familiaris,Domestic Dog,,,
4B-21-421,Philippines,2021,Asian SEA4,14/4/2021,Malapad,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-21622,Philippines,2022,Asian SEA4,16/2/2022,Mangangan,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
