ID,country,year,lineage,brgy,place,province,region,latitude,longitude,species,date
RADDL1-16-166,Philippines,2016,unknown,Rizal West Poblacion,Lingayen ,Pangasinan,Ilocos Region,16.00162157,120.2270835,Canis familiaris,09/08/2016
RADDL3-1045,Philippines,2015,Asian SEA4_A1.2,St. Francis ,Limay,Bataan,Central Luzon,14.53878982,120.5544428,Canis familiaris,23/10/2015
RADDL3-15-172,Philippines,2015,Asian SEA4_A1.2,Cvo,San Jose  ,Nueva Ecija,Central Luzon,15.78462183,120.9975839,Canis familiaris,12/02/2015
RADDL3-16-1008,Philippines,2016,unknown,Pamaldan,Cabanatuan ,Nueva Ecija,Central Luzon,15.49243695,120.9899426,Canis familiaris,27/10/2016
RADDL3-16-468,Philippines,2016,Asian SEA4_A1.2,Sta Teresita,Angeles  ,Pampanga,Central Luzon,15.14555779,120.5862479,Canis familiaris,01/06/2016
RADDL3-16-521,Philippines,2016,unknown,Bulihan,Malolos,Bulacan,Central Luzon,14.82958643,120.8367451,Canis familiaris,15/06/2016
RADDL3-16-627,Philippines,2016,Asian SEA4_A1.2,Ligas,Malolos,Bulacan,Central Luzon,14.82958643,120.8367451,Canis familiaris,27/07/2016
RADDL3-845,Philippines,2015,Asian SEA4_A1.2,San Jose,Floridablanca,Pampanga,Central Luzon,14.98771276,120.4868625,Canis familiaris,02/09/2015
RADDL5-005,Philippines,2015,Asian SEA4_A1.2,San Nicolas,Iriga  ,Camarines Sur,Bicol Region,13.44838237,123.4332975,Canis familiaris,30/01/2015
Z-04-664,Philippines,2004,Asian SEA4_A1.2,Lower Bicutan,Taguig,Metro Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,15/12/2004
Z-05-102,Philippines,2005,Asian SEA4_D1,,Muntinlupa  ,Metro Manila,National Capital Region,14.40197636,121.0327847,Canis familiaris,21/02/2005
Z-05-191,Philippines,2005,Asian SEA4_A1.2,Lower Bicutan,Taguig,Metro Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,10/04/2005
Z-05-557,Philippines,2005,Asian SEA4_D1,Rizal,Makati,Metro Manila,National Capital Region,14.54943127,121.0335906,Canis familiaris,03/12/2005
Z-05-96,Philippines,2005,Asian SEA4_A1.2,Maywood Sucat,Paranaque,Metro Manila,National Capital Region,14.48357034,121.0147858,Canis familiaris,17/02/2005
Z-06-150,Philippines,2006,Asian SEA4_A1,Balete,Batangas  ,Batangas,Calabarzon,13.7207195,121.103796,Canis familiaris,24/04/2006
Z-06-295,Philippines,2006,Asian SEA4_B1.1,Lucsuhin,Calatagan,Batangas,Calabarzon,13.86384068,120.6585868,Canis familiaris,22/07/2006
Z-06-39,Philippines,2006,Asian SEA4_B1,Ambulong,Tanauan  ,Batangas,Calabarzon,14.09625533,121.0970452,Canis familiaris,26/01/2006
Z-07-07,Philippines,2007,Asian SEA4_B1.1.1,Molino 6,General Trias,Cavite,Calabarzon,14.32966619,120.8999068,Canis familiaris,08/01/2007
Z-07-22,Philippines,2007,Asian SEA4_B1.1,Tierra Nevada,Amadeo,Cavite,Calabarzon,14.187281,120.9251442,Canis familiaris,23/01/2007
Z-07-222,Philippines,2007,Asian SEA4_B1.1.1,Dagatan,General Trias,Cavite,Calabarzon,14.32966619,120.8999068,Canis familiaris,30/06/2007
Z-07-351,Philippines,2007,Asian SEA4_D1,-,Taguig  ,Metro Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,25/10/2007
Z-07-366,Philippines,2007,Asian SEA4_A1.2,Wawa,Lipa  ,Batangas,Calabarzon,13.94086577,121.1746864,Canis familiaris,12/11/2007
Z-07-38,Philippines,2007,Asian SEA4_D1,Timbol,Bacoor,Cavite,Calabarzon,14.41614393,120.9704734,Canis familiaris,02/05/2007
